,posicao,fortuna,industria,nome_completo,idade,pais_de_residencia,fonte,genero,ipca_do_pais,variacao_do_ipca,pib_do_pais,expectativa_de_vida,receita_tributaria,taxa_de_imposto,pop_do_pais,continente
42,43,31200,Logística,Gianluigi Aponte,82,Switzerland,Transporte marítimo,Masc,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
43,43,31200,Logística,Rafaela Aponte-Diamant,78,Switzerland,Transporte marítimo,Fem,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
44,45,30200,Tecnologia,Colin Zheng Huang,43,China,Comércio eletrônico,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
45,46,29700,Manufatura,Reinhold Wuerth & family,87,Germany,Fixadores,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
47,48,28500,Finanças e investimentos,Jeff Yass,64,United States,"Comércio, investimentos",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
48,49,28100,Finanças e investimentos,Jim Simons,84,United States,Fundos de hedge,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
49,50,27800,Finanças e investimentos,Stephen Schwarzman,76,United States,Investimentos,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
50,51,27400,Automotivo,Susanne Klatten,60,Germany,"BMW, produtos farmacêuticos",Fem,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
51,52,27000,Metais e mineração,Gina Rinehart,69,Australia,Mineração,Fem,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605,Oceania
52,53,26700,Tecnologia,William Ding,51,China,Jogos on-line,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
53,54,26600,Metais e mineração,Germán Larrea Mota Velasco & family,69,Mexico,Mineração,Masc,141.54,3.6,1258286717125,75.0,13.1,55.1,126014024,North America
54,55,25600,Tecnologia,Shiv Nadar,77,India,Serviços de software,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
55,56,25500,Energia,Low Tuck Kwong,74,Indonesia,Carvão,Masc,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917,Asia
56,57,25300,Finanças e investimentos,Thomas Peterffy,78,United States,Corretora de descontos,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
57,58,25200,Metais e mineração,Andrey Melnichenko & family,51,United Arab Emirates,"Fertilizantes, carvão",Masc,114.52,-1.9,421142267938,77.8,0.1,15.9,9770529,Asia
58,59,24600,Automotivo,Stefan Quandt,56,Germany,BMW,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
59,60,24400,Tecnologia,MacKenzie Scott,52,United States,Amazon,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
60,61,24200,Finanças e investimentos,R. Budi Hartono,82,Indonesia,"Bancos, tabaco",Masc,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917,Asia
61,62,23700,Metais e mineração,Vladimir Potanin,62,Russia,Metais,Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
62,63,23500,Tecnologia,Jack Ma,58,China,Comércio eletrônico,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
63,64,23400,Manufatura,He Xiangjian & family,80,China,Eletrodomésticos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
64,65,23100,Metais e mineração,Iris Fontbona & family,80,Chile,Mineração,Fem,131.91,2.6,282318159745,80.0,18.2,34.0,18952038,South America
65,65,23100,Manufatura,Michael Hartono,83,Indonesia,"Bancos, tabaco",Masc,151.18,3.0,1119190780753,71.5,10.2,30.1,270203917,Asia
66,67,22900,Manufatura,James Ratcliffe,70,United Kingdom,Produtos químicos,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
67,68,22600,Saúde,Cyrus Poonawalla,81,India,Vacinas,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
68,69,22400,Telecomunicações,Masayoshi Son,65,Japan,"Internet, telecomunicações",Masc,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568,Asia
69,70,22100,Metais e mineração,Vladimir Lisin,66,Russia,"Aço, transporte",Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
70,71,22000,Alimentos e bebidas,Emmanuel Besnier,52,France,Queijo,Masc,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887,Europe
71,72,21600,Finanças e investimentos,Abigail Johnson,61,United States,Fidelidade,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
72,72,21600,Energia,Leonid Mikhelson & family,67,Russia,"Gás, produtos químicos",Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
73,74,21200,Moda e varejo,Lukas Walton,36,United States,Walmart,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
74,74,21200,Serviços,Wang Wei,52,China,Entrega de pacotes,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
75,76,21100,Tecnologia,Jensen Huang,60,United States,Semicondutores,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
76,77,21000,Moda e varejo,Leonard Lauder,90,United States,Estee Lauder,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
77,77,21000,Manufatura,Takemitsu Takizaki,77,Japan,Sensores,Masc,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568,Asia
78,79,20900,Metais e mineração,Alexey Mordashov & family,57,Russia,"Aço, investimentos",Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
79,80,20500,Energia,Vagit Alekperov,72,Russia,Petróleo,Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
80,81,20200,Saúde,"Thomas Frist, Jr. & family",84,United States,Hospitais,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
81,82,19600,Metais e mineração,Andrew Forrest,61,Australia,Mineração,Masc,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605,Oceania
82,83,19100,Finanças e investimentos,Ray Dalio,73,United States,Fundos de hedge,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
83,84,19000,Automotivo,Eric Li,59,China,Automóveis,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
84,84,19000,Metais e mineração,Wang Wenyin,55,China,"Mineração, produtos de cobre",Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
86,86,18900,Alimentos e bebidas,Qin Yinglin,57,China,Criação de porcos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
87,88,18700,Automotivo,Wang Chuanfu,57,China,"Baterias, automóveis",Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
88,89,18500,Energia,Harold Hamm & family,77,United States,Petróleo e gás,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
89,89,18500,Finanças e investimentos,David Tepper,65,United States,Fundos de hedge,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
90,89,18500,Energia,Gennady Timchenko,70,Russia,"Petróleo, gás",Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
91,92,18000,Finanças e investimentos,Daniel Gilbert,61,United States,Quicken Loans,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
92,93,17700,Metais e mineração,Lakshmi Mittal,72,United Kingdom,Aço,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
93,94,17500,Finanças e investimentos,Steve Cohen,66,United States,Fundos de hedge,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
94,94,17500,Finanças e investimentos,Carl Icahn,87,United States,Investimentos,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
95,94,17500,Metais e mineração,Savitri Jindal & family,73,India,Aço,Fem,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
96,97,17400,Imobiliário,Donald Bren,90,United States,Imóveis,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
97,97,17400,Moda e varejo,"John Menard, Jr.",83,United States,Lojas de artigos para casa,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
98,99,17100,Mídia e entretenimento,Rupert Murdoch & family,92,United States,"Jornais, rede de TV",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
99,100,16700,Finanças e investimentos,Vicky Safra & family,70,Switzerland,Bancos,Fem,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
100,101,16500,Moda e varejo,"Theo Albrecht, Jr. & family",72,Germany,"Aldi, Trader Joe's",Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
101,101,16500,Finanças e investimentos,Renata Kellnerova & family,55,Czech Republic,"Finanças, telecomunicações",Fem,116.48,2.8,246489245495,79.0,14.9,46.1,10669709,Europe
102,103,16300,Saúde,Li Xiting,72,China,Dispositivos médicos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
103,104,16200,Moda e varejo,Stefan Persson,75,Sweden,H&M,Masc,110.51,1.8,530832908738,82.5,27.9,49.1,10285453,Europe
104,104,16200,Tecnologia,Eric Schmidt,67,United States,Google,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
105,106,16000,Finanças e investimentos,Michael Platt,55,Switzerland,Fundos de hedge,Masc,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
106,107,15900,Alimentos e bebidas,Pang Kang,67,China,Molho de soja,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
107,108,15800,Moda e varejo,Karl Albrecht Jr. & family,65,Germany,Supermercados,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
108,108,15800,Alimentos e bebidas,Jorge Paulo Lemann & family,83,Switzerland,Cerveja,Masc,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
110,112,15600,Saúde,Dilip Shanghvi,67,India,Farmacêutico,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
111,113,15500,Tecnologia,Robert Pera,45,United States,Redes sem fio,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
112,114,15300,Moda e varejo,Radhakishan Damani,68,India,"Varejo, investimentos",Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
113,115,15200,Automotivo,Huang Shilin,56,China,Baterias,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
114,116,14900,Diversificado,Dhanin Chearavanont,83,Thailand,Diversificados,Masc,113.27,0.7,543649976166,76.9,14.9,29.5,69625582,Asia
115,116,14900,Moda e varejo,David Green & family,81,United States,Varejo,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
116,118,14800,Alimentos e bebidas,Charoen Sirivadhanabhakdi,78,Thailand,"Álcool, imóveis",Masc,113.27,0.7,543649976166,76.9,14.9,29.5,69625582,Asia
117,119,14700,Alimentos e bebidas,Charlene de Carvalho-Heineken & family,68,United Kingdom,Heineken,Fem,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
118,120,14600,Saúde,Xu Hang,60,China,Dispositivos médicos,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
119,121,14500,Automotivo,Wei Jianjun & family,59,China,Automóveis,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
121,123,14300,Manufatura,Goh Cheng Liang,95,Singapore,Tintas,Masc,114.41,0.6,372062527489,83.1,13.1,21.0,5703569,Asia
122,124,14200,Diversificado,Kumar Birla,55,India,Commodities,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
123,124,14200,Manufatura,Aliko Dangote,65,Nigeria,"Cimento, açúcar",Masc,267.51,11.4,448120428859,54.3,1.5,34.8,200963599,Africa
125,127,14000,Diversificado,Idan Ofer,67,United Kingdom,Transporte marítimo,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
126,128,13900,Saúde,Chen Bang,57,China,Hospitais,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
128,130,13700,Logística,John Fredriksen,78,United Kingdom,Transporte marítimo,Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
129,130,13700,Construção e engenharia,Diane Hendricks,76,United States,Materiais de construção,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
130,130,13700,Tecnologia,Jan Koum,47,United States,WhatsApp,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
131,133,13300,Esportes,Jerry Jones,80,United States,Dallas Cowboys,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
132,133,13300,Energia,George Kaiser,80,United States,"Petróleo e gás, bancos",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
134,136,13200,Automotivo,Lu Xiangyang,60,China,"Automóveis, baterias",Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
135,137,13100,Imobiliário,Harry Triguboff,90,Australia,Imóveis,Masc,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605,Oceania
136,138,12900,Finanças e investimentos,Uday Kotak,64,India,Bancos,Masc,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754,Asia
137,138,12900,Esportes,Stanley Kroenke,75,United States,"Esportes, imóveis",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
138,140,12600,Energia,Mikhail Fridman,58,United Kingdom,"Petróleo, bancos, telecomunicações",Masc,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405,Europe
139,141,12300,Energia,Sarath Ratanavadi,57,Thailand,Energia,Masc,113.27,0.7,543649976166,76.9,14.9,29.5,69625582,Asia
140,142,12200,Metais e mineração,Dang Yanbao,50,China,Carvão,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
141,142,12200,Saúde,Jiang Rensheng & family,69,China,Vacinas,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
142,144,12100,Automotivo,Shahid Khan,72,United States,Autopeças,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
143,145,12000,Tecnologia,Laurene Powell Jobs & family,59,United States,"Apple, Disney",Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
145,147,11600,Imobiliário,Stephen Ross,82,United States,Imóveis,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
146,148,11500,Tecnologia,Pavel Durov,38,United Arab Emirates,Aplicativo de mensagens,Masc,114.52,-1.9,421142267938,77.8,0.1,15.9,9770529,Asia
147,148,11500,Saúde,Andreas Struengmann & family,73,Germany,Farmacêutico,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
148,148,11500,Saúde,Thomas Struengmann & family,73,Germany,Farmacêutico,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
149,151,11400,Alimentos e bebidas,Liu Hanyuan,59,China,Agronegócios,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
150,151,11400,Moda e varejo,Michael Rubin,50,United States,Varejo on-line,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
151,153,11300,Finanças e investimentos,Israel Englander,74,United States,Fundos de hedge,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
152,153,11300,Manufatura,Viatcheslav Kantor,69,Israel,"Fertilizantes, imóveis",Masc,108.15,0.8,395098666122,82.8,23.1,25.3,9053300,Asia
153,153,11300,Manufatura,Anthony Pratt,62,Australia,Manufatura,Masc,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605,Oceania
154,153,11300,Finanças e investimentos,Mikhail Prokhorov,57,Switzerland,Investimentos,Masc,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
155,157,11100,Moda e varejo,Giorgio Armani,88,Italy,Bens de luxo,Masc,110.62,0.6,2001244392042,82.9,24.3,59.1,60297396,Europe
156,157,11100,Moda e varejo,Johann Rupert & family,72,South Africa,Bens de luxo,Masc,158.93,4.1,351431649241,63.9,27.5,29.2,58558270,Africa
158,159,11000,Tecnologia,Zhang Zhidong,51,China,Mídia na Internet,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
159,161,10900,Finanças e investimentos,Philip Anschutz,83,United States,"Energia, esportes, entretenimento",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
160,161,10900,Moda e varejo,Judy Love & family,85,United States,Postos de gasolina,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
161,161,10900,Moda e varejo,Ricardo Salinas Pliego & family,67,Mexico,"Varejo, mídia",Masc,141.54,3.6,1258286717125,75.0,13.1,55.1,126014024,North America
162,164,10700,Mídia e entretenimento,Donald Newhouse,93,United States,Mídia,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
163,165,10600,Esportes,Robert Kraft,81,United States,"Fabricação, New England Patriots",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
164,165,10600,Alimentos e bebidas,Marcel Herrmann Telles,73,Brazil,Cerveja,Masc,167.4,3.7,1839758040766,75.7,14.2,65.1,212559417,South America
165,167,10500,Finanças e investimentos,Suleiman Kerimov & family,57,Russia,Ouro,Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
166,167,10500,Moda e varejo,Sky Xu,39,China,Comércio eletrônico,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
167,167,10500,Finanças e investimentos,Changpeng Zhao,45,United Arab Emirates,Câmbio de criptomoedas,Masc,114.52,-1.9,421142267938,77.8,0.1,15.9,9770529,Asia
168,170,10300,Finanças e investimentos,Andrew Beal,70,United States,"Bancos, imóveis",Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
169,171,10200,Tecnologia,Mike Cannon-Brookes,43,Australia,Software,Masc,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605,Oceania
170,171,10200,Saúde,Carl Cook,60,United States,Dispositivos médicos,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
171,171,10200,Tecnologia,David Duffield,82,United States,Software empresarial,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
172,171,10200,Energia,Jeffery Hildebrand,64,United States,Petróleo,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
173,171,10200,Manufatura,Viktor Rashnikov,74,Russia,Aço,Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
174,171,10200,Tecnologia,Eduardo Saverin,41,Singapore,Facebook,Masc,114.41,0.6,372062527489,83.1,13.1,21.0,5703569,Asia
175,171,10200,Automotivo,Georg Schaeffler,58,Germany,Autopeças,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
176,171,10200,Moda e varejo,Christy Walton,74,United States,Walmart,Fem,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
177,179,10100,Tecnologia,Scott Farquhar,43,Australia,Software,Masc,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605,Oceania
178,179,10100,Diversificado,Quek Leng Chan,81,Malaysia,"Bancos, imóveis",Masc,121.46,0.7,364701517788,76.0,12.0,38.7,32447385,Asia
179,179,10100,Imobiliário,Wu Yajun,59,China,Imóveis,Fem,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
180,182,10000,Energia,Autry Stephens,85,United States,Petróleo,Masc,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523,North America
181,183,9900,Serviços,Liu Yongxing,74,China,Diversificados,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
182,184,9800,Diversificado,Vinod Adani,74,United Arab Emirates,"Infraestrutura, commodities",Masc,114.52,-1.9,421142267938,77.8,0.1,15.9,9770529,Asia
183,184,9800,Moda e varejo,Nicolas Puech,80,Switzerland,Hermes,Masc,99.55,0.4,703082435360,83.6,10.1,28.8,8574832,Europe
184,184,9800,Logística,"Jacques Saadé, Jr.",51,France,Transporte marítimo,Masc,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887,Europe
185,184,9800,Logística,Rodolphe Saadé,53,France,Transporte marítimo,Masc,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887,Europe
186,184,9800,Logística,Tanya Saadé Zeenny,55,France,Transporte marítimo,Fem,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887,Europe
187,184,9800,Finanças e investimentos,Melker Schorling & family,75,Sweden,Investimentos,Masc,110.51,1.8,530832908738,82.5,27.9,49.1,10285453,Europe
188,190,9700,Manufatura,Andrei Guriev & family,63,Russia,Fertilizantes,Masc,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535,Europe
189,190,9700,Finanças e investimentos,Michael Kim,59,South Korea,Patrimônio privado,Masc,115.16,0.4,2029000000000,82.6,15.6,33.2,51709098,Asia
190,190,9700,Tecnologia,Lei Jun,53,China,Smartphones,Masc,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000,Asia
191,190,9700,Manufatura,Friedhelm Loh,76,Germany,Manufatura,Masc,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799,Europe
