,Unnamed: 0,posicao,fortuna,idade,ipca_do_pais,variacao_do_ipca,pib_do_pais,expectativa_de_vida,receita_tributaria,taxa_de_imposto,pop_do_pais
102,105,106,16000,55,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
103,106,107,15900,67,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
104,107,108,15800,65,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
105,108,108,15800,83,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
106,110,112,15600,67,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
107,111,113,15500,45,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
108,112,114,15300,68,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
109,113,115,15200,56,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
110,114,116,14900,83,113.27,0.7,543649976166,76.9,14.9,29.5,69625582
111,115,116,14900,81,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
112,116,118,14800,78,113.27,0.7,543649976166,76.9,14.9,29.5,69625582
113,117,119,14700,68,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
114,118,120,14600,60,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
115,119,121,14500,59,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
116,121,123,14300,95,114.41,0.6,372062527489,83.1,13.1,21.0,5703569
117,122,124,14200,55,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
118,123,124,14200,65,267.51,11.4,448120428859,54.3,1.5,34.8,200963599
119,125,127,14000,67,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
120,126,128,13900,57,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
121,128,130,13700,78,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
122,129,130,13700,76,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
123,130,130,13700,47,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
124,131,133,13300,80,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
125,132,133,13300,80,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
126,134,136,13200,60,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
127,135,137,13100,90,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605
128,136,138,12900,64,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
129,137,138,12900,75,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
130,138,140,12600,58,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
131,139,141,12300,57,113.27,0.7,543649976166,76.9,14.9,29.5,69625582
132,140,142,12200,50,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
133,141,142,12200,69,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
134,142,144,12100,72,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
135,143,145,12000,59,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
136,145,147,11600,82,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
137,146,148,11500,38,114.52,-1.9,421142267938,77.8,0.1,15.9,9770529
138,147,148,11500,73,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
139,148,148,11500,73,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
140,149,151,11400,59,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
141,150,151,11400,50,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
142,151,153,11300,74,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
143,152,153,11300,69,108.15,0.8,395098666122,82.8,23.1,25.3,9053300
144,153,153,11300,62,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605
145,154,153,11300,57,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
146,155,157,11100,88,110.62,0.6,2001244392042,82.9,24.3,59.1,60297396
147,156,157,11100,72,158.93,4.1,351431649241,63.9,27.5,29.2,58558270
148,158,159,11000,51,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
149,159,161,10900,83,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
150,160,161,10900,85,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
151,161,161,10900,67,141.54,3.6,1258286717125,75.0,13.1,55.1,126014024
152,162,164,10700,93,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
153,163,165,10600,81,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
154,164,165,10600,73,167.4,3.7,1839758040766,75.7,14.2,65.1,212559417
155,165,167,10500,57,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
156,166,167,10500,39,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
157,167,167,10500,45,114.52,-1.9,421142267938,77.8,0.1,15.9,9770529
158,168,170,10300,70,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
159,169,171,10200,43,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605
160,170,171,10200,60,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
161,171,171,10200,82,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
162,172,171,10200,64,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
163,173,171,10200,74,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
164,174,171,10200,41,114.41,0.6,372062527489,83.1,13.1,21.0,5703569
165,175,171,10200,58,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
166,176,171,10200,74,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
167,177,179,10100,43,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605
168,178,179,10100,81,121.46,0.7,364701517788,76.0,12.0,38.7,32447385
169,179,179,10100,59,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
170,180,182,10000,85,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
171,181,183,9900,74,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
172,182,184,9800,74,114.52,-1.9,421142267938,77.8,0.1,15.9,9770529
173,183,184,9800,80,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
174,184,184,9800,51,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
175,185,184,9800,53,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
176,186,184,9800,55,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
177,187,184,9800,75,110.51,1.8,530832908738,82.5,27.9,49.1,10285453
178,188,190,9700,63,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
179,189,190,9700,59,115.16,0.4,2029000000000,82.6,15.6,33.2,51709098
180,190,190,9700,53,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
181,191,190,9700,76,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
182,192,190,9700,64,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
183,193,195,9600,70,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
184,194,195,9600,70,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
185,195,195,9600,67,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
186,196,195,9600,58,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
187,197,195,9600,62,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
188,198,195,9600,64,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
189,199,195,9600,66,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
190,200,202,9500,71,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
191,201,202,9500,94,116.76,1.9,1736425629520,81.9,12.8,24.5,36991981
192,202,204,9400,57,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
193,203,204,9400,44,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
194,204,206,9300,41,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
195,205,206,9300,75,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
196,206,208,9200,56,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
197,207,208,9200,79,110.51,1.8,530832908738,82.5,27.9,49.1,10285453
198,208,208,9200,47,116.48,2.8,246489245495,79.0,14.9,46.1,10669709
199,209,208,9200,82,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
200,210,208,9200,77,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
201,211,208,9200,85,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
202,212,208,9200,63,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
203,213,215,9000,72,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
204,214,215,9000,66,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
205,215,215,9000,55,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
206,216,215,9000,73,116.76,1.9,1736425629520,81.9,12.8,24.5,36991981
207,217,215,9000,57,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
208,218,220,8900,68,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
209,219,220,8900,63,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
210,220,220,8900,70,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
211,221,223,8800,47,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
212,222,223,8800,71,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
213,223,223,8800,49,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
214,224,223,8800,38,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
215,225,223,8800,55,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
216,226,223,8800,64,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
217,227,223,8800,72,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
218,228,230,8700,52,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
219,229,230,8700,79,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
220,230,232,8600,71,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
221,231,232,8600,67,114.24,1.6,206928765544,81.9,29.0,34.6,4841000
222,232,232,8600,68,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
223,233,232,8600,79,112.85,1.4,3845630030824,80.9,11.5,48.8,83132799
224,234,232,8600,75,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
225,235,232,8600,73,129.61,2.5,376795508680,71.1,14.0,43.1,108116615
226,236,232,8600,67,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
227,237,239,8500,47,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
228,238,239,8500,74,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
229,239,239,8500,55,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
230,240,242,8400,75,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
231,241,242,8400,77,158.93,4.1,351431649241,63.9,27.5,29.2,58558270
232,242,242,8400,72,119.8,1.6,1392680589329,82.7,23.0,47.4,25766605
233,243,242,8400,77,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
234,244,246,8300,75,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
235,246,246,8300,67,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
236,248,249,8200,61,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
237,249,249,8200,62,267.51,11.4,448120428859,54.3,1.5,34.8,200963599
238,250,249,8200,79,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
239,251,249,8200,91,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
240,252,249,8200,68,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
241,253,249,8200,41,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
242,254,256,8100,69,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
243,255,256,8100,66,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
244,256,256,8100,65,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
245,257,256,8100,58,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
246,258,256,8100,54,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
247,259,261,8000,39,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
248,260,261,8000,66,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
249,261,261,8000,93,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
250,262,261,8000,85,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
251,263,261,8000,60,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
252,264,261,8000,58,116.48,2.8,246489245495,79.0,14.9,46.1,10669709
253,266,268,7900,52,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
254,267,268,7900,52,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
255,268,268,7900,71,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
256,269,268,7900,54,115.16,0.4,2029000000000,82.6,15.6,33.2,51709098
257,270,268,7900,54,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
258,271,268,7900,72,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
259,272,268,7900,57,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
260,273,268,7900,50,118.06,1.5,446314739528,81.6,25.4,51.4,8877067
261,274,276,7800,73,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
262,275,276,7800,66,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
263,277,276,7800,53,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
264,278,276,7800,58,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
265,280,282,7700,55,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
266,281,282,7700,42,110.05,1.1,2715518274227,82.5,24.2,60.7,67059887
267,282,282,7700,80,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
268,283,282,7700,54,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
269,284,282,7700,71,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
270,285,282,7700,68,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
271,286,282,7700,68,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
272,287,282,7700,61,120.27,2.2,403336363636,82.8,23.9,36.2,5347896
273,288,290,7600,54,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
274,289,290,7600,89,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
275,290,290,7600,67,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
276,291,290,7600,41,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
277,292,290,7600,64,114.41,0.6,372062527489,83.1,13.1,21.0,5703569
278,293,290,7600,66,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
279,294,290,7600,85,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
280,296,290,7600,62,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
281,297,299,7500,80,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
282,298,299,7500,85,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
283,299,299,7500,59,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
284,300,299,7500,68,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
285,301,299,7500,79,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
286,302,299,7500,52,114.41,0.6,372062527489,83.1,13.1,21.0,5703569
287,303,305,7400,80,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
288,304,305,7400,70,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
289,305,305,7400,59,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
290,306,305,7400,71,114.41,0.6,372062527489,83.1,13.1,21.0,5703569
291,307,305,7400,72,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
292,308,305,7400,62,288.57,9.2,303175127598,71.8,12.5,44.4,100388073
293,309,305,7400,81,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
294,310,312,7300,91,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
295,311,312,7300,59,180.75,4.5,1699876578871,72.7,11.4,46.2,144373535
296,312,312,7300,50,110.35,0.8,348078018464,81.0,32.4,23.8,5818553
297,313,312,7300,63,129.61,2.5,376795508680,71.1,14.0,43.1,108116615
298,314,312,7300,55,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
299,315,317,7200,65,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
300,317,317,7200,68,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
301,318,317,7200,79,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
302,319,317,7200,78,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
303,320,317,7200,41,114.52,-1.9,421142267938,77.8,0.1,15.9,9770529
304,321,317,7200,61,105.48,0.5,5081769542380,84.2,11.9,46.7,126226568
305,322,317,7200,77,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
306,323,325,7100,79,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
307,324,325,7100,76,118.06,1.5,446314739528,81.6,25.4,51.4,8877067
308,325,325,7100,61,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
309,326,325,7100,66,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
310,327,325,7100,72,99.55,0.4,703082435360,83.6,10.1,28.8,8574832
311,328,325,7100,94,114.41,0.6,372062527489,83.1,13.1,21.0,5703569
312,329,325,7100,71,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
313,330,332,7000,58,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
314,331,332,7000,37,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
315,332,332,7000,41,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
316,333,332,7000,77,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
317,334,332,7000,80,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
318,335,332,7000,83,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
319,337,332,7000,55,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
320,338,332,7000,58,180.44,7.7,2611000000000,69.4,11.2,49.7,1366417754
321,339,332,7000,69,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
322,340,332,7000,67,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
323,341,332,7000,71,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
324,342,344,6900,62,141.54,3.6,1258286717125,75.0,13.1,55.1,126014024
325,343,344,6900,87,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
326,344,344,6900,89,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
327,345,344,6900,55,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
328,346,344,6900,58,125.08,2.9,19910000000000,77.0,9.4,59.2,1397715000
329,347,344,6900,80,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
330,348,344,6900,54,110.96,0.7,1394116310769,83.3,14.2,47.0,47076781
331,349,344,6900,68,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
332,350,352,6800,59,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
333,351,352,6800,86,110.62,0.6,2001244392042,82.9,24.3,59.1,60297396
334,352,352,6800,55,119.62,1.7,2827113184696,81.3,25.5,30.6,66834405
335,353,352,6800,40,117.24,7.5,21427700000000,78.5,9.6,36.6,328239523
