,posicao,fortuna,industria,nome_completo,idade,pais_de_residencia,city_of_residence,fonte,citizenship,genero,birth_date,last_name,first_name,residence_state,residence_region,birth_year,birth_month,birth_day,ipca_do_pais,variacao_do_ipca,pib_do_pais,g_tertiary_ed_enroll,g_primary_ed_enroll,expectativa_de_vida,receita_tributaria,taxa_de_imposto,pop_do_pais,country_lat,country_long,continente
16,17,59000,Diversificado,Charles Koch & family,87,United States,Wichita,Indústrias Koch,United States,Masc,1935-11-01,Koch,Charles,Kansas,Midwest,1935,11,1,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
17,17,59000,Diversificado,Julia Koch & family,60,United States,New York,Indústrias Koch,United States,Fem,1962-04-12,Koch,Julia,New York,Northeast,1962,4,12,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
18,19,58800,Moda e varejo,Jim Walton,74,United States,Bentonville,Walmart,United States,Masc,1948-06-07,Walton,Jim,Arkansas,South,1948,6,7,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
19,20,57600,Moda e varejo,Rob Walton & family,78,United States,Bentonville,Walmart,United States,Masc,1944-10-27,Walton,Rob,Arkansas,South,1944,10,27,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
20,21,56700,Moda e varejo,Alice Walton,73,United States,Fort Worth,Walmart,United States,Fem,1949-10-07,Walton,Alice,Texas,South,1949,10,7,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
21,22,54400,Mídia e entretenimento,David Thomson & family,65,Canada,Toronto,Mídia,Canada,Masc,1957-06-12,Thomson,David,No subdivisions info,No subdivisions info,1957,6,12,116.76,1.9,1736425629520,68.9,100.9,81.9,12.8,24.5,36991981,56.130366,-106.346771,North America
22,23,50100,Tecnologia,Michael Dell,58,United States,Austin,Dell Technologies,United States,Masc,1965-02-23,Dell,Michael,Texas,South,1965,2,23,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
23,24,47200,Diversificado,Gautam Adani,60,India,Ahmedabad,"Infraestrutura, commodities",India,Masc,1962-06-24,Adani,Gautam,No subdivisions info,No subdivisions info,1962,6,24,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
24,25,45100,Moda e varejo,Phil Knight & family,85,United States,Hillsboro,Nike,United States,Masc,1938-02-24,Knight,Phil,Oregon,West,1938,2,24,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
25,26,45000,Tecnologia,Zhang Yiming,39,China,Beijing,TikTok,China,Masc,1984-01-01,Zhang,Yiming,No subdivisions info,No subdivisions info,1984,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
26,27,42900,Moda e varejo,Dieter Schwarz,83,Germany,Neckarsulm,Varejo,Germany,Masc,1939-09-24,Schwarz,Dieter,No subdivisions info,No subdivisions info,1939,9,24,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
27,28,40100,Moda e varejo,François Pinault & family,86,France,Paris,Bens de luxo,France,Masc,1936-08-21,Pinault,François,No subdivisions info,No subdivisions info,1936,8,21,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,Europe
28,29,39100,Logística,Klaus-Michael Kuehne,85,Switzerland,Schindellegi,Transporte marítimo,Germany,Masc,1937-06-02,Kuehne,Klaus-Michael,No subdivisions info,No subdivisions info,1937,6,2,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Europe
29,30,38900,Alimentos e bebidas,Giovanni Ferrero,58,Belgium,Brussels,"Nutella, chocolates",Italy,Masc,1964-09-21,Ferrero,Giovanni,No subdivisions info,No subdivisions info,1964,9,21,117.11,1.4,529606710418,79.7,103.9,81.6,24.0,55.4,11484055,50.503887,4.469936,Europe
30,31,38300,Alimentos e bebidas,Jacqueline Mars,83,United States,The Plains,"Doces, ração para animais de estimação",United States,Fem,1939-10-10,Mars,Jacqueline,Virginia,South,1939,10,10,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
31,31,38300,Alimentos e bebidas,John Mars,87,United States,Jackson,"Doces, ração para animais de estimação",United States,Masc,1935-10-15,Mars,John,Wyoming,South,1935,10,15,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
33,34,35300,Tecnologia,Ma Huateng,51,China,Shenzhen,Mídia na Internet,China,Masc,1971-10-29,Ma,Huateng,No subdivisions info,No subdivisions info,1971,10,29,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
34,35,35000,Jogos de azar e cassinos,Miriam Adelson & family,77,United States,Las Vegas,Cassinos,United States,Fem,1945-10-10,Adelson,Miriam,Nevada,West,1945,10,10,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
35,35,35000,Finanças e investimentos,Ken Griffin,54,United States,Miami,Fundos de hedge,United States,Masc,1968-10-15,Griffin,Ken,Florida,South,1968,10,15,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
36,37,34700,Alimentos e bebidas,Mark Mateschitz,30,Austria,Salzburg,Red Bull,Austria,Masc,1992-05-07,Mateschitz,Mark,No subdivisions info,No subdivisions info,1992,5,7,118.06,1.5,446314739528,85.1,103.1,81.6,25.4,51.4,8877067,47.516231,14.550072,Europe
37,38,33400,Automotivo,Robin Zeng,54,China,Ningde,Baterias,Hong Kong,Masc,1969-01-01,Zeng,Robin,No subdivisions info,No subdivisions info,1969,1,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
38,39,32600,Moda e varejo,Tadashi Yanai & family,74,Japan,Tokyo,Varejo de moda,Japan,Masc,1949-02-07,Yanai,Tadashi,No subdivisions info,No subdivisions info,1949,2,7,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,Asia
39,40,32100,Diversificado,Len Blavatnik,65,United Kingdom,London,"Música, produtos químicos",United States,Masc,1957-06-01,Blavatnik,Len,No subdivisions info,No subdivisions info,1957,6,1,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
40,41,31600,Moda e varejo,Alain Wertheimer,74,United States,New York,Chanel,France,Masc,1948-08-28,Wertheimer,Alain,New York,Northeast,1948,8,28,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
41,41,31600,Moda e varejo,Gerard Wertheimer,72,United States,New York,Chanel,France,Masc,1951-01-09,Wertheimer,Gerard,New York,Northeast,1951,1,9,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
42,43,31200,Logística,Gianluigi Aponte,82,Switzerland,Geneva,Transporte marítimo,Switzerland,Masc,1940-06-27,Aponte,Gianluigi,No subdivisions info,No subdivisions info,1940,6,27,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Europe
43,43,31200,Logística,Rafaela Aponte-Diamant,78,Switzerland,Geneva,Transporte marítimo,Switzerland,Fem,1945-03-26,Aponte-Diamant,Rafaela,No subdivisions info,No subdivisions info,1945,3,26,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Europe
44,45,30200,Tecnologia,Colin Zheng Huang,43,China,Shanghai,Comércio eletrônico,China,Masc,1980-02-02,Huang,Colin Zheng,No subdivisions info,No subdivisions info,1980,2,2,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
45,46,29700,Manufatura,Reinhold Wuerth & family,87,Germany,Kuenzelsau,Fixadores,Germany,Masc,1935-04-20,Wuerth,Reinhold,No subdivisions info,No subdivisions info,1935,4,20,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
47,48,28500,Finanças e investimentos,Jeff Yass,64,United States,Haverford,"Comércio, investimentos",United States,Masc,1958-07-17,Yass,Jeff,Pennsylvania,Northeast,1958,7,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
48,49,28100,Finanças e investimentos,Jim Simons,84,United States,East Setauket,Fundos de hedge,United States,Masc,1938-04-25,Simons,Jim,New York,Northeast,1938,4,25,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
49,50,27800,Finanças e investimentos,Stephen Schwarzman,76,United States,New York,Investimentos,United States,Masc,1947-02-14,Schwarzman,Stephen,New York,Northeast,1947,2,14,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
50,51,27400,Automotivo,Susanne Klatten,60,Germany,Bad Homburg,"BMW, produtos farmacêuticos",Germany,Fem,1962-04-28,Klatten,Susanne,No subdivisions info,No subdivisions info,1962,4,28,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
51,52,27000,Metais e mineração,Gina Rinehart,69,Australia,Perth,Mineração,Australia,Fem,1954-02-09,Rinehart,Gina,No subdivisions info,No subdivisions info,1954,2,9,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605,-25.274398,133.775136,Oceania
52,53,26700,Tecnologia,William Ding,51,China,Hangzhou,Jogos on-line,China,Masc,1971-10-01,Ding,William,No subdivisions info,No subdivisions info,1971,10,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
53,54,26600,Metais e mineração,Germán Larrea Mota Velasco & family,69,Mexico,Mexico City,Mineração,Mexico,Masc,1953-10-26,Larrea Mota Velasco,Germán,No subdivisions info,No subdivisions info,1953,10,26,141.54,3.6,1258286717125,40.2,105.8,75.0,13.1,55.1,126014024,23.634501,-102.552784,North America
54,55,25600,Tecnologia,Shiv Nadar,77,India,Delhi,Serviços de software,India,Masc,1945-07-18,Nadar,Shiv,No subdivisions info,No subdivisions info,1945,7,18,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
55,56,25500,Energia,Low Tuck Kwong,74,Indonesia,Jakarta,Carvão,Indonesia,Masc,1948-04-17,Low Tuck,Kwong,No subdivisions info,No subdivisions info,1948,4,17,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,Asia
56,57,25300,Finanças e investimentos,Thomas Peterffy,78,United States,Palm Beach,Corretora de descontos,United States,Masc,1944-09-30,Peterffy,Thomas,Florida,South,1944,9,30,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
57,58,25200,Metais e mineração,Andrey Melnichenko & family,51,United Arab Emirates,Ras Al Khaimah,"Fertilizantes, carvão",Russia,Masc,1972-03-08,Melnichenko,Andrey,No subdivisions info,No subdivisions info,1972,3,8,114.52,-1.9,421142267938,36.8,108.4,77.8,0.1,15.9,9770529,23.424076,53.847818,Asia
58,59,24600,Automotivo,Stefan Quandt,56,Germany,Frankfurt,BMW,Germany,Masc,1966-05-09,Quandt,Stefan,No subdivisions info,No subdivisions info,1966,5,9,112.85,1.4,3845630030824,70.2,104.0,80.9,11.5,48.8,83132799,51.165691,10.451526,Europe
59,60,24400,Tecnologia,MacKenzie Scott,52,United States,Seattle,Amazon,United States,Fem,1970-04-07,Scott,MacKenzie,Washington,West,1970,4,7,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
60,61,24200,Finanças e investimentos,R. Budi Hartono,82,Indonesia,Kudus,"Bancos, tabaco",Indonesia,Masc,1941-01-01,Hartono,R. Budi,No subdivisions info,No subdivisions info,1941,1,1,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,Asia
61,62,23700,Metais e mineração,Vladimir Potanin,62,Russia,Moscow,Metais,Russia,Masc,1961-01-03,Potanin,Vladimir,No subdivisions info,No subdivisions info,1961,1,3,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
62,63,23500,Tecnologia,Jack Ma,58,China,Hangzhou,Comércio eletrônico,China,Masc,1964-09-10,Ma,Jack,No subdivisions info,No subdivisions info,1964,9,10,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
63,64,23400,Manufatura,He Xiangjian & family,80,China,Foshan,Eletrodomésticos,China,Masc,1942-08-11,He,Xiangjian,No subdivisions info,No subdivisions info,1942,8,11,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
64,65,23100,Metais e mineração,Iris Fontbona & family,80,Chile,Santiago,Mineração,Chile,Fem,1943-01-01,Fontbona,Iris,No subdivisions info,No subdivisions info,1943,1,1,131.91,2.6,282318159745,88.5,101.4,80.0,18.2,34.0,18952038,-35.675147,-71.542969,South America
65,65,23100,Manufatura,Michael Hartono,83,Indonesia,Kudus,"Bancos, tabaco",Indonesia,Masc,1939-10-02,Hartono,Michael,No subdivisions info,No subdivisions info,1939,10,2,151.18,3.0,1119190780753,36.3,106.4,71.5,10.2,30.1,270203917,-0.789275,113.921327,Asia
66,67,22900,Manufatura,James Ratcliffe,70,United Kingdom,London,Produtos químicos,United Kingdom,Masc,1953-01-01,Ratcliffe,James,No subdivisions info,No subdivisions info,1953,1,1,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
67,68,22600,Saúde,Cyrus Poonawalla,81,India,Pune,Vacinas,India,Masc,1941-05-11,Poonawalla,Cyrus,No subdivisions info,No subdivisions info,1941,5,11,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
68,69,22400,Telecomunicações,Masayoshi Son,65,Japan,Tokyo,"Internet, telecomunicações",Japan,Masc,1957-08-11,Son,Masayoshi,No subdivisions info,No subdivisions info,1957,8,11,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,Asia
69,70,22100,Metais e mineração,Vladimir Lisin,66,Russia,Moscow,"Aço, transporte",Russia,Masc,1956-05-07,Lisin,Vladimir,No subdivisions info,No subdivisions info,1956,5,7,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
70,71,22000,Alimentos e bebidas,Emmanuel Besnier,52,France,Laval,Queijo,France,Masc,1970-09-18,Besnier,Emmanuel,No subdivisions info,No subdivisions info,1970,9,18,110.05,1.1,2715518274227,65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749,Europe
71,72,21600,Finanças e investimentos,Abigail Johnson,61,United States,Milton,Fidelidade,United States,Fem,1961-12-19,Johnson,Abigail,Massachusetts,Northeast,1961,12,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
72,72,21600,Energia,Leonid Mikhelson & family,67,Russia,Moscow,"Gás, produtos químicos",Russia,Masc,1955-08-11,Mikhelson,Leonid,No subdivisions info,No subdivisions info,1955,8,11,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
73,74,21200,Moda e varejo,Lukas Walton,36,United States,Chicago,Walmart,United States,Masc,1986-09-19,Walton,Lukas,Illinois,Midwest,1986,9,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
74,74,21200,Serviços,Wang Wei,52,China,Shenzhen,Entrega de pacotes,China,Masc,1970-10-01,Wang,Wei,No subdivisions info,No subdivisions info,1970,10,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
75,76,21100,Tecnologia,Jensen Huang,60,United States,Los Altos,Semicondutores,United States,Masc,1963-02-17,Huang,Jensen,California,West,1963,2,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
76,77,21000,Moda e varejo,Leonard Lauder,90,United States,New York,Estee Lauder,United States,Masc,1933-03-19,Lauder,Leonard,New York,Northeast,1933,3,19,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
77,77,21000,Manufatura,Takemitsu Takizaki,77,Japan,Osaka,Sensores,Japan,Masc,1945-06-10,Takizaki,Takemitsu,No subdivisions info,No subdivisions info,1945,6,10,105.48,0.5,5081769542380,63.2,98.8,84.2,11.9,46.7,126226568,36.204824,138.252924,Asia
78,79,20900,Metais e mineração,Alexey Mordashov & family,57,Russia,Moscow,"Aço, investimentos",Russia,Masc,1965-09-26,Mordashov,Alexey,No subdivisions info,No subdivisions info,1965,9,26,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
79,80,20500,Energia,Vagit Alekperov,72,Russia,Moscow,Petróleo,Russia,Masc,1950-09-01,Alekperov,Vagit,No subdivisions info,No subdivisions info,1950,9,1,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
80,81,20200,Saúde,"Thomas Frist, Jr. & family",84,United States,Nashville,Hospitais,United States,Masc,1938-08-12,Frist,Thomas,Tennessee,South,1938,8,12,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
81,82,19600,Metais e mineração,Andrew Forrest,61,Australia,Perth,Mineração,Australia,Masc,1961-11-18,Forrest,Andrew,No subdivisions info,No subdivisions info,1961,11,18,119.8,1.6,1392680589329,113.1,100.3,82.7,23.0,47.4,25766605,-25.274398,133.775136,Oceania
82,83,19100,Finanças e investimentos,Ray Dalio,73,United States,Greenwich,Fundos de hedge,United States,Masc,1949-08-08,Dalio,Ray,Connecticut,Northeast,1949,8,8,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
83,84,19000,Automotivo,Eric Li,59,China,Hangzhou,Automóveis,China,Masc,1963-06-01,Li,Eric,No subdivisions info,No subdivisions info,1963,6,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
84,84,19000,Metais e mineração,Wang Wenyin,55,China,Shenzhen,"Mineração, produtos de cobre",China,Masc,1968-03-01,Wang,Wenyin,No subdivisions info,No subdivisions info,1968,3,1,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
86,86,18900,Alimentos e bebidas,Qin Yinglin,57,China,Nanyang,Criação de porcos,China,Masc,1965-04-17,Qin,Yinglin,No subdivisions info,No subdivisions info,1965,4,17,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
87,88,18700,Automotivo,Wang Chuanfu,57,China,Shenzhen,"Baterias, automóveis",China,Masc,1966-02-15,Wang,Chuanfu,No subdivisions info,No subdivisions info,1966,2,15,125.08,2.9,19910000000000,50.6,100.2,77.0,9.4,59.2,1397715000,35.86166,104.195397,Asia
88,89,18500,Energia,Harold Hamm & family,77,United States,Oklahoma City,Petróleo e gás,United States,Masc,1945-12-11,Hamm,Harold,Oklahoma,South,1945,12,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
89,89,18500,Finanças e investimentos,David Tepper,65,United States,Palm Beach,Fundos de hedge,United States,Masc,1957-09-11,Tepper,David,Florida,South,1957,9,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
90,89,18500,Energia,Gennady Timchenko,70,Russia,Moscow,"Petróleo, gás",Russia,Masc,1952-11-09,Timchenko,Gennady,No subdivisions info,No subdivisions info,1952,11,9,180.75,4.5,1699876578871,81.9,102.6,72.7,11.4,46.2,144373535,61.52401,105.318756,Europe
91,92,18000,Finanças e investimentos,Daniel Gilbert,61,United States,Franklin,Quicken Loans,United States,Masc,1962-01-17,Gilbert,Daniel,Michigan,Midwest,1962,1,17,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
92,93,17700,Metais e mineração,Lakshmi Mittal,72,United Kingdom,London,Aço,India,Masc,1950-06-15,Mittal,Lakshmi,No subdivisions info,No subdivisions info,1950,6,15,119.62,1.7,2827113184696,60.0,101.2,81.3,25.5,30.6,66834405,55.378051,-3.435973,Europe
93,94,17500,Finanças e investimentos,Steve Cohen,66,United States,Greenwich,Fundos de hedge,United States,Masc,1956-06-11,Cohen,Steve,Connecticut,Northeast,1956,6,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
94,94,17500,Finanças e investimentos,Carl Icahn,87,United States,Indian Creek,Investimentos,United States,Masc,1936-02-16,Icahn,Carl,Florida,South,1936,2,16,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
95,94,17500,Metais e mineração,Savitri Jindal & family,73,India,Hisar,Aço,India,Fem,1950-03-20,Jindal,Savitri,No subdivisions info,No subdivisions info,1950,3,20,180.44,7.7,2611000000000,28.1,113.0,69.4,11.2,49.7,1366417754,20.593684,78.96288,Asia
96,97,17400,Imobiliário,Donald Bren,90,United States,Newport Beach,Imóveis,United States,Masc,1932-05-11,Bren,Donald,California,West,1932,5,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
97,97,17400,Moda e varejo,"John Menard, Jr.",83,United States,Eau Claire,Lojas de artigos para casa,United States,Masc,1940-01-22,Menard,John,Wisconsin,Midwest,1940,1,22,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
98,99,17100,Mídia e entretenimento,Rupert Murdoch & family,92,United States,New York,"Jornais, rede de TV",United States,Masc,1931-03-11,Murdoch,Rupert,New York,Northeast,1931,3,11,117.24,7.5,21427700000000,88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891,North America
99,100,16700,Finanças e investimentos,Vicky Safra & family,70,Switzerland,Crans-Montana,Bancos,Brazil,Fem,1953-01-01,Safra,Vicky,No subdivisions info,No subdivisions info,1953,1,1,99.55,0.4,703082435360,59.6,105.2,83.6,10.1,28.8,8574832,46.818188,8.227512,Europe
